z_round,dcm_mpc,dcm_transverse_mpc
0.628,2291.99723899,2291.99723899
0.629,2295.02890606,2295.02890606
0.63,2298.05876068,2298.05876068
0.631,2301.08680388,2301.08680388
0.632,2304.11303669,2304.11303669
0.633,2307.13746015,2307.13746015
0.634,2310.16007528,2310.16007528
0.635,2313.1808831,2313.1808831
0.636,2316.19988466,2316.19988466
0.637,2319.21708098,2319.21708098
0.638,2322.2324731,2322.2324731
0.639,2325.24606205,2325.24606205
0.64,2328.25784886,2328.25784886
0.641,2331.26783457,2331.26783457
0.642,2334.27602022,2334.27602022
0.643,2337.28240684,2337.28240684
0.644,2340.28699547,2340.28699547
0.645,2343.28978715,2343.28978715
0.646,2346.29078292,2346.29078292
0.647,2349.28998382,2349.28998382
0.648,2352.28739089,2352.28739089
0.649,2355.28300517,2355.28300517
0.65,2358.27682771,2358.27682771
0.651,2361.26885954,2361.26885954
0.652,2364.25910172,2364.25910172
0.653,2367.24755528,2367.24755528
0.654,2370.23422127,2370.23422127
0.655,2373.21910074,2373.21910074
0.656,2376.20219474,2376.20219474
0.657,2379.1835043,2379.1835043
0.658,2382.16303049,2382.16303049
0.659,2385.14077435,2385.14077435
0.66,2388.11673693,2388.11673693
0.661,2391.09091929,2391.09091929
0.662,2394.06332246,2394.06332246
0.663,2397.03394751,2397.03394751
0.664,2400.00279548,2400.00279548
0.665,2402.96986743,2402.96986743
0.666,2405.93516442,2405.93516442
0.667,2408.8986875,2408.8986875
0.668,2411.86043772,2411.86043772
0.669,2414.82041614,2414.82041614
0.67,2417.77862382,2417.77862382
0.671,2420.73506181,2420.73506181
0.672,2423.68973117,2423.68973117
0.673,2426.64263296,2426.64263296
0.674,2429.59376825,2429.59376825
0.675,2432.54313808,2432.54313808
0.676,2435.49074352,2435.49074352
0.677,2438.43658563,2438.43658563
0.678,2441.38066548,2441.38066548
0.679,2444.32298412,2444.32298412
0.68,2447.26354261,2447.26354261
0.681,2450.20234203,2450.20234203
0.682,2453.13938343,2453.13938343
0.683,2456.07466788,2456.07466788
0.684,2459.00819645,2459.00819645
0.685,2461.9399702,2461.9399702
0.686,2464.86999019,2464.86999019
0.687,2467.7982575,2467.7982575
0.688,2470.72477319,2470.72477319
0.689,2473.64953832,2473.64953832
0.69,2476.57255398,2476.57255398
0.691,2479.49382122,2479.49382122
0.692,2482.41334111,2482.41334111
0.693,2485.33111474,2485.33111474
0.694,2488.24714315,2488.24714315
0.695,2491.16142744,2491.16142744
0.696,2494.07396867,2494.07396867
0.697,2496.9847679,2496.9847679
0.698,2499.89382622,2499.89382622
0.699,2502.8011447,2502.8011447
0.7,2505.70672441,2505.70672441
0.701,2508.61056642,2508.61056642
0.702,2511.51267181,2511.51267181
0.703,2514.41304166,2514.41304166
0.704,2517.31167703,2517.31167703
0.705,2520.20857901,2520.20857901
0.706,2523.10374867,2523.10374867
0.707,2525.99718709,2525.99718709
0.708,2528.88889535,2528.88889535
0.709,2531.77887452,2531.77887452
