z_round,dcm_mpc,dcm_transverse_mpc
0.6282,2292.60371745,2292.60371745
0.6283,2292.90692948,2292.90692948
0.6284,2293.21012338,2293.21012338
0.6285,2293.51329914,2293.51329914
0.6286,2293.81645678,2293.81645678
0.6287,2294.11959629,2294.11959629
0.6288,2294.42271767,2294.42271767
0.6289,2294.72582093,2294.72582093
0.629,2295.02890606,2295.02890606
0.6291,2295.33197306,2295.33197306
0.6292,2295.63502194,2295.63502194
0.6293,2295.9380527,2295.9380527
0.6294,2296.24106534,2296.24106534
0.6295,2296.54405986,2296.54405986
0.6296,2296.84703626,2296.84703626
0.6297,2297.14999454,2297.14999454
0.6298,2297.4529347,2297.4529347
0.6299,2297.75585674,2297.75585674
0.63,2298.05876068,2298.05876068
0.6301,2298.36164649,2298.36164649
0.6302,2298.6645142,2298.6645142
0.6303,2298.96736379,2298.96736379
0.6304,2299.27019527,2299.27019527
0.6305,2299.57300864,2299.57300864
0.6306,2299.8758039,2299.8758039
0.6307,2300.17858106,2300.17858106
0.6308,2300.4813401,2300.4813401
0.6309,2300.78408104,2300.78408104
0.631,2301.08680388,2301.08680388
0.6311,2301.38950861,2301.38950861
0.6312,2301.69219524,2301.69219524
0.6313,2301.99486377,2301.99486377
0.6314,2302.29751419,2302.29751419
0.6315,2302.60014652,2302.60014652
0.6316,2302.90276075,2302.90276075
0.6317,2303.20535688,2303.20535688
0.6318,2303.50793491,2303.50793491
0.6319,2303.81049485,2303.81049485
0.632,2304.11303669,2304.11303669
0.6321,2304.41556044,2304.41556044
0.6322,2304.7180661,2304.7180661
0.6323,2305.02055367,2305.02055367
0.6324,2305.32302314,2305.32302314
0.6325,2305.62547453,2305.62547453
0.6326,2305.92790783,2305.92790783
0.6327,2306.23032304,2306.23032304
0.6328,2306.53272016,2306.53272016
0.6329,2306.8350992,2306.8350992
0.633,2307.13746015,2307.13746015
0.6331,2307.43980302,2307.43980302
0.6332,2307.74212781,2307.74212781
0.6333,2308.04443452,2308.04443452
0.6334,2308.34672314,2308.34672314
0.6335,2308.64899369,2308.64899369
